Dataset number,Dataset type,Number of sets/samples,Number of reads,Number of fusions/sample,SE/PE,Read lenght,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
Dataset1.1,simulated,5.0,30000000.0,500.0,PE,50.0,https://github.com/fusiontranscripts/FusionBenchmarking,,,,,,,,,,
Dataset1.2,simulated,5.0,30000000.0,500.0,PE,101.0,,,,,,,,,,,
Dataset1.3,real,60.0,,,,,,,,,,,,,,,
Dataset2.1,simulated,9.0,40000000.0,,,75.0,,,,,,,,,,,
Dataset2.2,spike-in of synthetic fusion,,154000000.0,,,101.0,SRR1548811,,,,,,,,,,
Dataset2.3,real (cells),,297000000.0,,,101.0,SRR534293,Edgren + Lin + Encode,,,,,,,,,
Dataset2.4,real,,,,,,ICGC-EOPC,,,,,,,,,,
Dataset2.5,real,,,,,,TGCA-DLBC,,,,,,,,,,
Dataset3.1A,real,4.0,7500000.0,,PE,50.0,"SRR1657558, SRR1657559, SRR1657560 and SRR165761",,,,,,,,,,
Dataset3.1B,real,2.0,60000000.0,,PE,100.0,SRR1657556 and SRR1657557,,,,,,,,,,
Dataset3.2,simulated,,8500000.0,50.0,PE,75.0,https://doi.org/10.1093/bioinformatics/btr310,,,,,,,,,,
Dataset4.1,real,,,,,,,,,,,,,,,,
Dataset5.1,real,,,,PE,,"three breast cancer cell lines BT474, SKBR3, MCF7 and a normal breast cell line [SRA:SRP003186]",,,,,,,,,,
Dataset5.2,real,,14000000.0,,SE,76.0,"Levin, J. Z. et al. Targeted next-generation sequencing of a cancer transcriptome enhances detection of sequence variants and novel fusion transcripts. Genome biology 10, R115 (2009).",,,,,,,,,,
Dataset5.3,simulated,,24000000.0,42.0,PE,76.0,SRA: SRR521477,,,,,,,,,,
Dataset6.1,real,6.0,28000000.0,27.0,PE,50.0,Breast cancer (P27),,"BT-474, SK-BR-3, KPL-4 and MCF-7",,,"w pierwszej publikacji odkyto 27 fuzji, potem 99",,,,,
Dataset6.2,real,6.0,28000000.0,99.0,PE,50.0,Breast cancer (P99),,https://doi.org/10.1186/gb-2011-12-1-r6,,,,,,,,
Dataset6.3,real,6.0,12000000.0,11.0,PE,50.0,Melanoma (P11),,https://doi.org/10.1101/gr.103697.109,,,,,,,,
Dataset6.4,real,13.0,25000000.0,31.0,PE,101.0,Glioma (P31),,SRA accession SRP027383,,,,,,,,
Dataset7.1,simulated,,307920.0,80.0,PE,75.0,InFusion simulated dataset (P80),,,https://bitbucket.org/kokonech/infusion/downloads/InFusion_test_dataset_02.tar.gz,,,,,,,
Dataset7.2,simulated,,64000000.0,250.0,PE,50.0,ChimPipe simulated dataset (P250) PE50,,,"Rodríguez-Martín B, Palumbo E, Marco-Sola S, et al. ChimPipe: accurate detection of fusion genes and transcription-induced chimeras from RNA-seq data. BMC Genomics. 2017;18(1):7.",,,,,,,
Dataset7.3,simulated,,42000000.0,250.0,PE,76.0,ChimPipe simulated dataset (P250) PE76,,,,,,,,,,
Dataset7.4,simulated,,31500000.0,250.0,PE,101.0,ChimPipe simulated dataset (P250) PE101,,,,,,,,,,
Dataset7.5,real,2.0,65000000.0,62.0,PE,101.0,Qin et al. real dataset (P62),,,human prostate cancer cells (LNCaP),,,(SRR1657556 and SRR1657557),,,,
Dataset7.6,real,6.0,21500000.0,27.0,PE,50.0,the Edgren real dataset (P27),,,"breast cancer cell lines (SRR064286 from MCF-7, SRR064287 from KPL-4, SRR064438 and SRR064439 from BT-474, SRR064440 and SRR064441 from SKBR3 cell lines)",,,,,,,
Dataset7.7,real,6.0,21500000.0,99.0,PE,50.0,the Edgren real dataset (P99),,,,,,,,,,
Dataset8.1,simulated,5.0,30000000.0,500.0,PE,50.0,https://data.broadinstitute.org/Trinity/CTAT_FUSIONTRANS_BENCHMARKING/on_simulated_data/sim_50/reads/,,,,,,,,,,
Dataset8.2,simulated,5.0,30000000.0,500.0,PE,101.0,https://data.broadinstitute.org/Trinity/CTAT_FUSIONTRANS_BENCHMARKING/on_simulated_data/sim_101/reads/,,,,,,,,,,
Dataset8.3,real,60.0,,,,,BRCA,https://data.broadinstitute.org/Trinity/CTAT_FUSIONTRANS_BENCHMARKING/on_cancer_cell_lines/reads/,,,,,,,,,
Dataset8.4,real,8.0,,,,,Melanoma,"SRR018259, SRR018260, SRR018261, SRR018265, SRR018266, SRR018267, SRR018268, SRR018269",,,,,,,,,
Dataset8.5A,real,2.0,,,,100.0,Prostate,SRR1657556 and SRR1657557,,,,,,,,,
Dataset8.5B,real,4.0,,,,50.0,Prostate,SRR1657556 si-/Negtive control_5236,,SRR1657557 siCTCF_5237,,SRR1657558 si-/Negtive control-Rep1_3899,,SRR1657559 siCTCF-Rep1_3900,SRR1657560 si-/Negtive control-Rep2_4899,,SRR1657561 siCTCF-Rep2_4900\
Dataset8.6,simulated,,65000000.0,,,101.0,DREAM,https://figshare.com/articles/dataset/FASTQ_DREAM_SMC-RNA_Challenge_smc_rna_sim45/12954488,,,,,,,,,
Dataset8.7,real,,,,,,NTRK,15 NTRK fusions with GM24385 human genomic RNA as background (trusight),,,,,,,,,
Dataset9,real,,,,,,,,,,,,,,,,
Dataset10,simulated,,,,,,,,,,,,,,,,
