Unnamed: 0,Unnamed: 1,Pre-processing of data,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Reproducilibity,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,version,Code available,Parameters disclosed,Workflow (CWL/Snakemake),Docker/Singularity,Fully reproducible?,New tool?,TP/FP/FN available?,Output available (list of fusions)?,Input available?
Benchmark 1,Haas,2019.0,"For each method, we used its own recommended alignment and analysis strategy and parameters, as implemented in its respective package.",,,,,,All benchmarking software and data are freely available at https://github.com/fusiontranscripts/FusionBenchmarking .,,,,,,,yes,GitHub,Yes (Additional file 1: Table S7),No,Yes,Yes,"yes, STAR-Fusion and TrinityFusion",,,
Benchmark 2,Uhrig,2021.0,"All fusion detection tools were run with default parameters with the following exceptions: The parameter -junL of PRADA has no default value and was set to 80% of the read length as recommended by the developers. For benchmarks regarding the detection of fusions with intergenic breakpoints, InFusion was executed with the parameters ‐‐allow-intronic, ‐‐allow-intergenic, and ‐‐allow-non-coding. Otherwise, InFusion does not call this type of events. By default, FusionCatcher uses an internal list of known oncogenic fusions to improve sensitivity. For an unbiased benchmark that is more reflective of FusionCatcher's sensitivity for de novo fusion discovery, we disabled this list by calling FusionCatcher with the parameter ‐‐skip-known-fusions. In addition, the default value of the parameter ‐‐allowed-labels of the script extract_fusion_genes.py had to be emptied for the parameter ‐‐skip-known-fusions to take effect.",,,,,,there's no benchmarking tool,,,,,,,yes,No,Yes,No,No,No,"yes, Arriba",,,
Benchmark 3,Kumar,2016.0,All of the software packages were run using a default configuration of each tool with SLURM (Simple Linux Utility for Resource Management) scripts.,,,,,,there's no benchmarking tool,,,,,,,yes,No,Yes,No,No,No,no,,,
Benchmark 4,Balan,2021.0,no info,,,,,,"Benchmarking was performed for SeekFusion, JAFFA-hybrid (Davidson et al., 2015), STAR-Fusion (Haas et al., 2019) and TOPHAT-Fusion (Kim and Salzberg, 2011), mirroring benchmarking analyses performed by the STAR-Fusion study (FusionBenchmarking)",,,,,,,yes,No,Yes (limited),No,No,No,"yes, SeekFusion",,,
Benchmark 5,Zhao,2017.0,no info,,,,,,there's no benchmarking tool,,,,,,,no,No,No or minimal,No,No,No,"yes, GFusion",,,
Benchmark 6,Vu,2018.0,"We used default mapper. For other setting parameters, the default values are used.",,,,,,there's no benchmarking tool,,,,,,,no,No,No or minimal,No,No,No,"yes, FuSeq",,,
Benchmark 7,Singh,2021.0,"For all of the software, we used default parameters (or default configuration file) to run their pipeline in order to make the comparisons fair.",,,,,,"The list of 16 fusion RNA prediction software packages benchmarked in this study, and the detailed information including versions of the software used, and commands to run all of the software is given in supplementary file 1.",,,,,,,yes,No,Yes,No,No,No,no,,,
Benchmark 8,Apostolides,2021.0,We analysed the six datasets using each of the callers with default parameters,,,,,,"Each caller is independently run on the input data to generate its own fusion calls. MetaFusion is a free software tool implemented in Python and R, with bash scripts used as wrappers. The source code is available at https://github.com/ccmbioinfo/MetaFusion. (recommendation for FusionBenchmarking)",,,,,,,no,Yes (tool only),No,No,No,No,"yes, MetaFusion",,,
Benchmark 9,Zhang,2016.0,"We found that different alignment tools affected the final list of gene fusion predictions. Using alignments from GSNAP, TopHat2, and STAR and running INTEGRATE with default parameters",,,,,,there's no benchmarking tool,,,,,,,no,No,No or minimal,No,No,No,"yes, INTEGRATE",,,
Benchmark 10,Davidson,2015.0,Running parameters for each tool can be found in Additional file 1: Methods 2,,,,,,there's no benchmarking tool,,,,,,,yes,No,Yes (limited),No,No,No,"yes, JAFFA",,,
