Benchmark,1,2,3,4,5,6,7,8,9,10,Unnamed: 11
doi,Haas,Uhrig,Kumar,Balan,Zhao,Vu,Singh,Apostolides,Zhang,Davidson,
Narzędzia,2019,2021,2016,2021,2017,2018,2021,2021,2016,2015,SUMA
Arriba,1,1,,,,,1,1,,,4
Bellerophontes,,,1,,,,,,,,1
BreakFusion,,,1,,,,,,,,1
BreakTrans,,,,,,,,,1,,1
ChimeraScan,1,,1,,,,1,,1,,4
ChimeRScope,,,,,,,1,,,,1
ChimPipe,1,,,,1,,1,,,,3
Comrad,,,,,,,,,1,,1
deFuse,1,1,,,,,,1,,1,4
EricScript,1,,1,,,,1,1,,,4
FuSeq,,,,,,1,1,,,,2
FusionCatcher,1,1,1,,,,1,,1,1,6
FusionHunter,1,,1,,,,,,,,2
FusionMap,,,1,,1,1,,1,,,4
Gfusion,,,,,1,,,,,,1
InFusion,1,1,,,,,1,,,,3
INTEGRATE,,,,,,,1,1,,,2
INTEGRATE C,,,,,,,,,1,,1
INTEGRATE G,,,,,,,,,1,,1
INTEGRATE S,,,,,,,,,1,,1
INTEGRATE T,,,,,,,,,1,,1
JAFFA,,,1,,1,1,1,,,1,5
JAFFA-Assembly,1,,,,,,,,,,1
JAFFA-Direct,1,,,,,,,,,,1
JAFFA-Hybrid,1,,,1,,,,,,,2
MapSplice,1,,1,,,,1,,,,3
MetaFusion,,,,,,,,1,,,1
nFuse,1,,1,,,,,,1,,3
Pizzly,1,,,,,,1,,,,2
PRADA,1,1,,,,,,,,,2
pyPRADA,,,,,,,,,1,,1
SeekFusion,,,,1,,,,,,,1
SOAPfuse,1,1,1,,,1,1,,,1,6
STAR-Fusion,1,1,,1,,,1,1,,,5
STAR-SEQR,1,,,,,,,1,,,2
STARChip,1,,,,,,1,,,,2
TopHat-Fusion,1,,1,1,1,1,1,,1,1,8
TrinityFusion-C,1,,,,,,,,,,1
TrinityFusion-D,1,,,,,,,,,,1
TrinityFusion-UC,1,,,,,,,,,,1
TRUP,,,,,,1,,,1,,2
SUMA,23,7,12,4,5,6,16,8,12,5,
