Narzędzie,Wersja,Rok wydania
Arriba,v2.4.0,2023.0
Arriba,v2.3.0,2022.0
Arriba,v2.2.1,2022.0
Arriba,v2.2.0,2022.0
Arriba,v2.1.0,2021.0
Arriba,v2.0.0,2020.0
Arriba,v1.2.0,2020.0
Arriba,v1.1.0,2019.0
Arriba,v1.0.1,2018.0
Arriba,v1.0.0,2018.0
Bellerophontes,,2012.0
BreakFusion,1.0,2012.0
BreakFusion,1.0.1,2012.0
BreakTrans,0.0.6,2013.0
ChimeraScan,v0.4.3.1,2012.0
ChimeraScan,v.0.1.0-v.0.4.3,2011.0
ChimeRScope,,2016.0
ChimPipe,v0.9.8,2023.0
ChimPipe,v0.9.7,2020.0
ChimPipe,v0.9.6,2019.0
ChimPipe,v0.9.5,2017.0
ChimPipe,v0.9.4,2016.0
ChimPipe,v0.9.3,2016.0
ChimPipe,v0.9.1,2016.0
ChimPipe,v0.8.8,2015.0
Comrad,,2011.0
deFuse,v0.8.2,2019.0
deFuse,v0.8.1,2017.0
deFuse,v0.8.0,2016.0
deFuse,v0.7.0,2015.0
deFuse,v.0.6.2,2014.0
deFuse,v.0.6.1,2014.0
deFuse,v.0.6.0,2014.0
deFuse,v.0.5.0,2014.0
deFuse,v.0.4.3,2014.0
deFuse,v.0.4.2,2014.0
EricScript,v2.1,2016.0
FuSeq,v1.1.4,2020.0
FuSeq,v1.1.3,2020.0
FuSeq,v1.1.2,2019.0
FuSeq,v1.1.1,2019.0
FuSeq,v1.1.0,2018.0
FuSeq,v1.0.0,2018.0
FuSeq,v0.1.1,2017.0
FuSeq,0.1.0,2017.0
FusionCatcher,v1.33,2021.0
FusionCatcher,v1.30,2021.0
FusionCatcher,v1.20,2019.0
FusionCatcher,v1.10,2019.0
FusionCatcher,v1.00,2019.0
FusionHunter,v.1.4,2012.0
FusionInspector,v2.8.0,2022.0
FusionInspector,v2.7.0,2022.0
FusionInspector,v2.6.0,2021.0
FusionInspector,v2.5.0,2021.0
FusionInspector,v2.4.0,2021.0
FusionInspector,v2.3.1,2020.0
FusionInspector,v2.3.0.,2020.0
FusionInspector,v2.2.0,2019.0
FusionInspector,v2.1.0,2019.0
FusionInspector,v2.0.1,2019.0
FusionMap,,2011.0
Gfusion,v1.0.0,2016.0
InFusion,v0.8,2017.0
INTEGRATE,,2016.0
INTEGRATE C,,2016.0
INTEGRATE G,,2016.0
INTEGRATE S,,2016.0
INTEGRATE T,,2016.0
JAFFA,v2.3,2022.0
JAFFA,v2.2,2021.0
JAFFA,v2.1,2021.0
JAFFA,v2.00,2020.0
JAFFA,v1.09,2017.0
JAFFA,v1.08,2016.0
JAFFA,v1.07,2016.0
JAFFA,v1.06,2015.0
JAFFA-Assembly,,
JAFFA-Direct,,
JAFFA-Hybrid,,
MapSplice,,2016.0
MetaFusion,,2021.0
nFuse,,2012.0
Pizzly,,2017.0
PRADA,,2015.0
PRADA,2,2020.0
pyPRADA,v1.2,2014.0
SeekFusion,,2021.0
SOAPfuse,,2018.0
STAR-Fusion,,2023.0
STAR-Fusion,,2023.0
STAR-Fusion,,2022.0
STAR-Fusion,,2021.0
STAR-Fusion,,2021.0
STAR-Fusion,,2020.0
STAR-Fusion,,2020.0
STAR-Fusion,,2019.0
STAR-Fusion,,2019.0
STAR-Fusion,,2019.0
STAR-Fusion,,2015.0
STAR-SEQR,,
STARChip,,
TopHat-Fusion,,
TrinityFusion-C,,
TrinityFusion-D,,
TrinityFusion-UC,,
TRUP,,
