Tool,n,n_benchmarks,mean_recall,median_recall,mean_precision,median_precision,mean_f1,median_f1,recall_minus_precision,recall_precision_ratio,profile
ChimeraScan,11,3,0.6718181818181818,0.82,0.43818181818181823,0.4,0.45424536627272727,0.53,0.23363636363636353,1.5331950207468876,intermediate
FuSeq,11,2,0.61,0.78,0.3890909090909091,0.41,0.4436363636363636,0.38,0.2209090909090909,1.5677570093457944,intermediate
JAFFA,14,3,0.5264285714285715,0.565,0.33,0.275,0.32857142857142857,0.33499999999999996,0.19642857142857145,1.5952380952380953,intermediate
STAR-SEQR,9,2,0.88,0.89,0.6837777777777778,0.8,0.7317777777777779,0.821,0.1962222222222222,1.2869678258043549,intermediate
deFuse,13,4,0.6786153846153845,0.79,0.4860769230769231,0.217,0.595252381,0.761761905,0.19253846153846144,1.3961069789523657,intermediate
EricScript,16,3,0.5785625,0.61,0.40418750000000003,0.265,0.414375,0.37,0.17437499999999995,1.4314210607700633,intermediate
Arriba,19,4,0.7903157894736842,0.882,0.6272631578947369,0.767,0.6500743034055727,0.7294117647058824,0.16305263157894734,1.259942943446887,intermediate
MetaFusion,6,1,0.9196666666666666,0.9450000000000001,0.7575,0.8745,0.8111666666666667,0.878,0.16216666666666668,1.2140814081408142,intermediate
ChimeRScope,7,1,0.25285714285714284,0.28,0.12285714285714286,0.07,0.14142857142857143,0.12,0.12999999999999998,2.0581395348837206,low recall / low precision
FusionMap,12,3,0.593,0.583,0.4839166666666667,0.379,0.48133333333333334,0.384,0.10908333333333325,1.2254175994489407,intermediate
Pizzly,10,2,0.66,0.76,0.554,0.735,0.541,0.7150000000000001,0.10599999999999998,1.1913357400722022,intermediate
SOAPfuse,18,5,0.6572222222222223,0.71,0.5846491228333334,0.74,0.5524451923990921,0.585,0.0725730993888889,1.124131032707591,intermediate
MetaFusion.top_3,6,1,0.8905,0.9255,0.8341666666666666,0.9359999999999999,0.8535,0.901,0.056333333333333346,1.0675324675324676,high recall / high precision
TopHat-Fusion,18,6,0.51,0.425,0.4961111111111111,0.45,0.41406204905555555,0.405,0.013888888888888895,1.0279955207166853,intermediate
INTEGRATE,13,2,0.5587692307692308,0.59,0.5543076923076923,0.52,0.5223076923076924,0.574,0.004461538461538517,1.0080488481820706,intermediate
nFuse,4,2,0.6225,0.645,0.63,0.7,0.59928571425,0.6335714285,-0.007499999999999951,0.9880952380952381,intermediate
InFusion,13,3,0.5507692307692308,0.66,0.5784615384615385,0.54,0.623,0.725,-0.027692307692307683,0.9521276595744681,intermediate
JAFFA-Direct,4,2,0.7875,0.8049999999999999,0.8225,0.97,0.7748809525,0.8547619049999999,-0.03500000000000003,0.9574468085106382,high recall / high precision
STAR-Fusion,19,4,0.6695263157894736,0.772,0.7137368421052631,0.79,0.6194905366996937,0.69,-0.04421052631578948,0.9380576653639112,intermediate
JAFFA-Hybrid,4,2,0.73,0.725,0.785,0.97,0.72404255325,0.83,-0.05500000000000005,0.929936305732484,intermediate
FusionCatcher,14,4,0.5242857142857142,0.62,0.5814285714285715,0.665,0.5185663265068027,0.565,-0.05714285714285727,0.9017199017199015,intermediate
TRUP,5,2,0.15,0.0,0.22000000000000003,0.0,0.07036363640000001,0.0,-0.07000000000000003,0.6818181818181817,low recall / low precision
STARChip,10,2,0.29100000000000004,0.195,0.414,0.315,0.32199999999999995,0.225,-0.12299999999999994,0.7028985507246378,low recall / low precision
JAFFA-Assembly,4,2,0.665,0.66,0.7975,0.855,0.7216011234999999,0.745,-0.13249999999999995,0.8338557993730408,intermediate
Arriba_hc,3,1,0.7633333333333333,0.78,0.9133333333333334,0.99,0.8300000000000001,0.87,-0.15000000000000013,0.8357664233576642,high recall / high precision
ChimPipe,13,3,0.5130769230769231,0.56,0.6799999999999999,0.86,0.566923076923077,0.7,-0.16692307692307684,0.7545248868778281,intermediate
PRADA,6,2,0.26666666666666666,0.19,0.48333333333333334,0.45,0.6866666666666666,0.72,-0.21666666666666667,0.5517241379310345,low recall / low precision
MapSplice,10,2,0.532,0.63,0.751,0.9450000000000001,0.603,0.665,-0.21899999999999997,0.7083888149134487,intermediate
TrinityFusion-C,3,1,0.6900000000000001,0.72,0.9733333333333333,0.99,0.8033333333333333,0.83,-0.2833333333333332,0.7089041095890412,high recall / high precision
TrinityFusion-UC,3,1,0.65,0.66,0.96,0.99,0.7766666666666667,0.8,-0.30999999999999994,0.6770833333333334,intermediate
FusionHunter,3,1,0.33666666666666667,0.37,0.86,0.97,0.48333333333333334,0.54,-0.5233333333333333,0.3914728682170543,low recall / high precision
TrinityFusion-D,3,1,0.4266666666666667,0.44,0.96,0.99,0.59,0.59,-0.5333333333333332,0.4444444444444445,low recall / high precision
