Tool,n,n_benchmarks,mean_recall,median_recall,mean_precision,median_precision,mean_f1,median_f1,recall_minus_precision,recall_precision_ratio,profile
STAR-SEQR,4,2,0.8588775510204082,0.8497551020408163,0.4424178082191781,0.41733561643835615,0.5485696721311475,0.5366393442622951,0.4164597428012301,1.9413268070685614,high recall / high precision
Arriba,8,4,0.7275102040816327,0.8095408163265306,0.31389291587760393,0.2555,0.3678718099007808,0.34600000000000003,0.41361728820402877,2.3177018890267354,intermediate
deFuse,6,4,0.6639882154882155,0.7375,0.276324499296044,0.20850000000000002,0.3417440707106171,0.324,0.3876637161921715,2.4029292269768763,high recall / low precision
Pizzly,4,2,0.48939795918367346,0.4467959183673469,0.1292007434944238,0.03,0.15169159388913184,0.05595014674639791,0.3601972156892497,3.787888103018506,intermediate
EricScript,7,3,0.49391545189504377,0.529,0.14177676377676376,0.13,0.20619654853246255,0.20890995260663506,0.35213868811828,3.4837545923445115,intermediate
MetaFusion,3,1,0.9306666666666666,1.0,0.6166666666666667,0.532,0.7206666666666667,0.636,0.31399999999999995,1.509189189189189,high recall / high precision
FuSeq,7,2,0.6012692206240594,0.6363636363636364,0.3225396188182218,0.3333333333333333,0.3786486445213555,0.3784046692607004,0.2787296018058376,1.8641716723889514,intermediate
ChimeraScan,5,3,0.47998367346938775,0.414,0.21400000000000002,0.04,0.16759976340462077,0.0745578231292517,0.2659836734693877,2.2429143620064846,intermediate
SOAPfuse,10,5,0.6169980861943996,0.6135,0.3915450297295099,0.34672131147540985,0.4140574174413514,0.5125,0.22545305646488967,1.5758036479754036,intermediate
JAFFA,8,3,0.5398370885548305,0.5987837837837837,0.34045131889158436,0.3680952380952381,0.3071653461481174,0.285140562248996,0.19938576966324612,1.5856513357398385,intermediate
FusionMap,8,3,0.5650387803492642,0.5052222222222222,0.37643950853485675,0.28150000000000003,0.406486494566974,0.3531621621621622,0.1885992718144075,1.50100817671465,intermediate
MetaFusion.top_3,3,1,0.8986666666666666,0.941,0.7116666666666666,0.615,0.7903333333333333,0.7440000000000001,0.18700000000000006,1.2627634660421547,high recall / high precision
InFusion,5,3,0.503395918367347,0.6489795918367347,0.32681430495286545,0.31,0.37609409828926194,0.3702038535540715,0.17658161341448153,1.5403117634032233,intermediate
TopHat-Fusion,11,6,0.4608100954125252,0.36363636363636365,0.30721220010627487,0.2,0.2573341094034427,0.19718309859154928,0.15359789530625034,1.499973292900203,intermediate
ChimeRScope,3,1,0.19666666666666666,0.172,0.07666666666666667,0.07,0.10091116645911168,0.11772727272727274,0.11999999999999998,2.5652173913043472,low recall / low precision
STAR-Fusion,8,4,0.6128469387755102,0.681,0.5212564102564102,0.5595,0.5213648804431623,0.4724066390041494,0.09159052851909999,1.17571108329209,intermediate
INTEGRATE,6,2,0.4443333333333333,0.505,0.3561666666666667,0.4035,0.3641027280465483,0.382503836313558,0.08816666666666662,1.2475432849789423,intermediate
MapSplice,4,2,0.38321428571428573,0.421,0.40918896321070236,0.48337792642140465,0.36793885085637473,0.41129946311393917,-0.02597467749641663,0.9365215589086122,intermediate
STARChip,4,2,0.19258673469387755,0.1515,0.22467741935483873,0.08,0.2547338380197068,0.10643835616438356,-0.03209068466096118,0.8571699605901225,low recall / low precision
ChimPipe,5,3,0.5107662437948152,0.5510204081632653,0.560139341158652,0.47,0.5050993756145703,0.41385729058945186,-0.04937309736383688,0.9118556870836669,intermediate
FusionCatcher,7,5,0.4377132255499602,0.33899999999999997,0.54328395980178,0.49846625766871167,0.4342186229776552,0.40560897435897436,-0.10557073425181979,0.8056803769978083,low recall / high precision
