Tool,n,n_benchmarks,mean_recall,median_recall,mean_precision,median_precision,mean_f1,median_f1,recall_minus_precision,recall_precision_ratio,profile
deFuse,3,2,0.7246666666666667,0.833,0.28301836796145735,0.17705510388437218,0.349820079315383,0.24546023794614902,0.44164829870520933,2.5604934120931504,intermediate
JAFFA,3,2,0.6251867057673509,0.726,0.1843952802359882,0.033185840707964605,0.12325513453411262,0.06417112299465241,0.44079142553136275,3.3904702168474157,intermediate
FuSeq,3,2,0.6799491691104594,0.6363636363636364,0.2558628841607565,0.28,0.3509048380664013,0.35037433155080216,0.42408628494970296,2.657474808590265,intermediate
EricScript,4,3,0.5213520408163266,0.46599999999999997,0.11885933660933662,0.07321867321867323,0.18280388533478417,0.11860777066956835,0.40249270420698996,4.386294385353093,intermediate
STAR-SEQR,3,2,0.8998367346938775,0.8755102040816326,0.5075570776255708,0.5876712328767123,0.6080928961748634,0.7032786885245902,0.3922796570683067,1.7728779173042972,high recall / high precision
FusionMap,4,2,0.7138027859237537,0.7912419354838709,0.3461817993937724,0.21644736842105264,0.43406531531531534,0.32363063063063063,0.36762098652998126,2.0619304283869133,intermediate
Arriba,4,3,0.6957704081632653,0.8430408163265306,0.34161811023622046,0.35,0.40898040045121264,0.39946080090242525,0.35415229792704483,2.036690641729027,intermediate
SOAPfuse,4,3,0.6994522861930697,0.6933387096774194,0.39018518108353983,0.33629629629629626,0.38684251005674564,0.39463967405143874,0.3092671051095298,1.792616224559576,high recall / high precision
STAR-Fusion,4,3,0.6061938775510204,0.7133877551020408,0.4898461538461538,0.49949999999999994,0.5206456254191156,0.5634306930693069,0.11634772370486657,1.2375189083170957,intermediate
INTEGRATE,3,2,0.3706666666666667,0.41700000000000004,0.27,0.22,0.2818695652173913,0.32799999999999996,0.10066666666666668,1.3728395061728396,low recall / low precision
TopHat-Fusion,5,4,0.4132281285534741,0.36363636363636365,0.3764032713553651,0.2,0.22292986972373185,0.18181818181818182,0.03682485719810902,1.0978335205895233,intermediate
ChimeraScan,3,3,0.3779727891156462,0.29591836734693877,0.3433333333333333,0.25,0.25409496321288094,0.27102803738317754,0.03463945578231287,1.1008916187834354,intermediate
FusionCatcher,3,3,0.417421768707483,0.33899999999999997,0.5661554192229038,0.49846625766871167,0.4175953691121954,0.39583333333333337,-0.1487336505154208,0.737291836366116,low recall / high precision
