Tool,n,n_benchmarks,mean_recall,median_recall,mean_precision,median_precision,mean_f1,median_f1,recall_minus_precision,recall_precision_ratio,profile
JAFFA,5,2,0.6101619047619048,0.559,0.37844444444444447,0.28,0.4294561405433065,0.4012955465587045,0.23171746031746032,1.6122892374800772,low recall / low precision
ChimeraScan,6,2,0.8313333333333333,0.825,0.625,0.62,0.6930841043650525,0.6883333333333332,0.20633333333333326,1.3301333333333332,high recall / low precision
FuSeq,3,1,0.8346666666666667,0.8320000000000001,0.6733333333333333,0.69,0.7448353296418454,0.7527272727272728,0.16133333333333333,1.2396039603960396,high recall / low precision
ChimeRScope,4,1,0.29674999999999996,0.3095,0.1575,0.07500000000000001,0.17114135568196273,0.12292615596963423,0.13924999999999996,1.8841269841269839,low recall / low precision
EricScript,9,3,0.6453333333333333,0.64,0.6078888888888889,0.795,0.576772771552351,0.708,0.03744444444444439,1.0615975141656004,intermediate
Arriba,10,4,0.8684000000000001,0.906,0.8408835051546392,0.8375,0.8601317679941585,0.8492523364485981,0.027516494845360895,1.032723313843932,intermediate
STAR-SEQR,5,2,0.8960000000000001,0.934,0.8764,0.884,0.8791742213494791,0.909,0.019600000000000173,1.0223642172523963,intermediate
MetaFusion,3,1,0.9086666666666666,0.934,0.8983333333333334,0.927,0.9016666666666667,0.879,0.010333333333333194,1.011502782931354,high recall / high precision
deFuse,6,3,0.7959999999999999,0.81,0.8183333333333334,0.937,0.7632675665032923,0.8534011299435029,-0.022333333333333427,0.9727087576374744,intermediate
FusionMap,4,2,0.651702380952381,0.6445000000000001,0.6962197802197803,0.8515,0.6313571428571428,0.7295,-0.04451739926739928,0.9360584106740745,intermediate
Pizzly,6,2,0.7763333333333334,0.79,0.8366666666666666,0.825,0.7989333428149102,0.7720067570058688,-0.06033333333333313,0.9278884462151397,intermediate
INTEGRATE,7,2,0.6561428571428571,0.6829999999999999,0.7241428571428571,0.81,0.657779444138295,0.6705065123010131,-0.06799999999999995,0.9060958768987967,intermediate
MetaFusion.top_3,3,1,0.8823333333333333,0.9179999999999999,0.9566666666666667,0.9570000000000001,0.9166666666666666,0.9329999999999999,-0.07433333333333336,0.9222996515679442,high recall / high precision
STAR-Fusion,10,4,0.7456666666666667,0.783,0.8393,0.84,0.8149931364346611,0.825683192261185,-0.09363333333333335,0.8884387783470352,intermediate
FusionCatcher,6,2,0.6918333333333333,0.6535,0.835,0.785,0.7561118377139621,0.7042649870789508,-0.14316666666666666,0.8285429141716567,intermediate
TopHat-Fusion,8,4,0.5582916666666666,0.474,0.7127205882352942,0.6,0.6021560897251022,0.519125117880226,-0.15442892156862753,0.783324736063826,intermediate
SOAPfuse,8,4,0.7085416666666666,0.7375,0.8834017027863778,0.8367647058823529,0.8141717292539025,0.8129889298892989,-0.17486003611971113,0.8020605625185269,intermediate
STARChip,6,2,0.35716666666666663,0.2185,0.54,0.345,0.40850735514582937,0.24762907268170425,-0.1828333333333334,0.6614197530864196,low recall / low precision
JAFFA-Direct,3,2,0.7933333333333333,0.84,0.98,0.97,0.8738497634358516,0.9003314917127071,-0.18666666666666665,0.8095238095238095,intermediate
InFusion,7,3,0.6289047619047619,0.6759999999999999,0.8315057915057915,0.8,0.7865202841445655,0.7572818990289212,-0.20260102960102966,0.7563444155522535,intermediate
JAFFA-Hybrid,3,2,0.7766666666666667,0.73,0.98,0.97,0.8652459706783381,0.8330588235294117,-0.20333333333333325,0.7925170068027212,intermediate
JAFFA-Assembly,3,2,0.7000000000000001,0.67,0.9033333333333333,0.88,0.7885278597831142,0.7477124183006537,-0.20333333333333325,0.7749077490774908,intermediate
ChimPipe,7,3,0.5896122448979593,0.708,0.8627272727272727,0.93,0.6916830219439644,0.80019656019656,-0.2731150278293134,0.6834283133696051,intermediate
MapSplice,6,2,0.6316666666666667,0.64,0.9783333333333334,0.99,0.7618486699431077,0.7773943442500779,-0.3466666666666667,0.6456558773424191,intermediate
