Tool,n,n_benchmarks,mean_recall,median_recall,mean_precision,median_precision,mean_f1,median_f1,recall_minus_precision,recall_precision_ratio,profile
JAFFA,8,3,0.6157962051389471,0.6335,0.30567600786627336,0.275,0.3146307632898588,0.33513061318335363,0.3101201972726737,2.014538888535683,intermediate
FuSeq,6,2,0.757307917888563,0.8300000000000001,0.46459810874704494,0.4816666666666667,0.5478700838541234,0.5794827001356851,0.29270980914151806,1.630027982530783,high recall / low precision
FusionMap,8,3,0.6827525834380673,0.668,0.5212007898067763,0.5265,0.532711229086229,0.5569999999999999,0.16155179363129102,1.3099607613625888,intermediate
STAR-SEQR,8,2,0.8974387755102041,0.912,0.738083904109589,0.8325,0.7775187244089982,0.855,0.1593548714006151,1.2159034637028943,intermediate
EricScript,13,3,0.6071852433281004,0.632,0.4574182574182574,0.303,0.45555157579309963,0.444,0.149766985909843,1.3274180325795304,intermediate
ChimeraScan,9,3,0.6802131519274376,0.816,0.5311111111111111,0.41,0.5467543906476621,0.5333333333333333,0.1491020408163265,1.2807360601144222,intermediate
MetaFusion,5,1,0.9452,0.956,0.8026,0.923,0.8462,0.879,0.14260000000000006,1.1776725641664592,intermediate
ChimeRScope,5,1,0.24699999999999997,0.2789999999999999,0.134,0.07,0.14564035727284289,0.1163285024154589,0.11299999999999996,1.843283582089552,low recall / low precision
deFuse,12,5,0.7215833333333332,0.777,0.6307426872284596,0.771,0.610163682307545,0.7617619047619049,0.09084064610487363,1.144021719069048,intermediate
Arriba,17,5,0.7981224489795918,0.882,0.7475474995583102,0.79,0.7366187717464823,0.8333253873659119,0.0505749494212816,1.067654496137254,intermediate
MetaFusion.top_3,5,1,0.9176,0.933,0.8815999999999999,0.949,0.8908000000000001,0.933,0.03600000000000003,1.0408348457350272,high recall / high precision
SOAPfuse,13,5,0.6820109598542778,0.71,0.6823368145422634,0.8145695364238411,0.6201708004113106,0.7883280757097793,-0.0003258546879855162,0.9995224430500587,intermediate
Pizzly,8,2,0.6825739795918367,0.786,0.6846003717472119,0.755,0.6610582673691492,0.7605772407917747,-0.002026392155375145,0.9970400364373109,intermediate
nFuse,4,2,0.6228061224489796,0.6456122448979591,0.6288577863577863,0.7,0.6014050818246304,0.6358492063492063,-0.006051663908806737,0.9903767369346625,intermediate
INTEGRATE,10,2,0.5705,0.6174999999999999,0.5879000000000001,0.775,0.545006480462024,0.657843219386158,-0.017400000000000082,0.9704031297839767,intermediate
JAFFA-Direct,4,2,0.7863265306122449,0.8026530612244898,0.8213259668508287,0.97,0.7743594037951628,0.8549276506182584,-0.034999436238583814,0.9573866678381295,high recall / high precision
JAFFA-Hybrid,4,2,0.730969387755102,0.725,0.7842886178861789,0.97,0.7229426163607373,0.8297838496345283,-0.05331923013107687,0.9320158052595697,intermediate
STAR-Fusion,17,5,0.698673069227691,0.772,0.7581990950226245,0.8,0.7064564810787934,0.8138613861386138,-0.05952602579493349,0.921490244204054,intermediate
TopHat-Fusion,13,6,0.5024979981615927,0.408,0.5833677740507061,0.56,0.4562998512630366,0.4684759916492693,-0.08086977588911337,0.8613742831086103,low recall / low precision
FusionCatcher,12,5,0.6333554421768707,0.6535,0.7158721881390594,0.77,0.6496769833572521,0.6938289916875252,-0.08251674596218872,0.8847325719180479,intermediate
InFusion,10,3,0.5462312925170068,0.6564897959183673,0.6660770601890234,0.8,0.5796994134231805,0.7208525797784018,-0.1198457676720166,0.8200722186138552,intermediate
JAFFA-Assembly,4,2,0.6642857142857144,0.66,0.7974472759226714,0.855,0.720291078973313,0.7445895424836602,-0.13316156163695703,0.8330152153534102,intermediate
Arriba_hc,3,1,0.7619727891156463,0.78,0.9142878448918718,0.99,0.8304657429348383,0.8725423728813559,-0.1523150557762255,0.8334057959676374,high recall / high precision
STARChip,8,2,0.32629336734693876,0.2185,0.49733870967741933,0.345,0.37794301635937205,0.24762907268170425,-0.17104534233048058,0.6560787668399612,low recall / low precision
MapSplice,8,2,0.5601071428571429,0.6374285714285715,0.8158444816053512,0.99,0.6525310621070334,0.7624168311499115,-0.25573733874820825,0.6865366567841588,intermediate
ChimPipe,9,3,0.5467006802721088,0.56,0.8089237700748492,0.93,0.6444600587341944,0.7153548387096774,-0.26222308980274034,0.6758370819311231,intermediate
TrinityFusion-C,3,1,0.6897278911564625,0.72,0.9749425287356321,0.99,0.8050041193447462,0.8336842105263158,-0.28521463757916965,0.7074549225490714,intermediate
TrinityFusion-UC,3,1,0.6515646258503401,0.66,0.9583783783783785,0.99,0.773911034614649,0.7951807228915663,-0.30681375252803833,0.6798615667361134,intermediate
PRADA,3,1,0.5345578231292517,0.56,0.9665071770334928,1.0,0.6836802475666947,0.717948717948718,-0.43194935390424105,0.5530821041287802,low recall / high precision
FusionHunter,3,1,0.33598639455782314,0.37,0.8586021505376343,0.97,0.4812569264171554,0.5356716417910449,-0.5226157559798112,0.39131790474486605,low recall / high precision
TrinityFusion-D,3,1,0.4269387755102041,0.44,0.96,0.99,0.5902652546034827,0.5917808219178082,-0.5330612244897959,0.4447278911564626,low recall / high precision
