observation_id,Benchmark,doi,Dataset,DatasetNumber,DatasetType,DatasetOrigin,run,ToolReported,Tool,tool_family,tool_version,TP,FP,TP_plus_FP,TruthTotal,Recall,Precision,F1,FN_reported,FN_recalculated,precision_recalculated,recall_recalculated,f1_recalculated,execution_time_h,memory_usage,time_ranking_in_set,Read_length,number_of_reads,has_f1,has_precision_recall,Is_Edgren,source_file,source_sheet,Benchmark_purpose,new_tool,FN,Is_Edgren_Binary
OBS0001,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.1,1.1,simulated,Simulated,,STAR-SEQR,STAR-SEQR,STAR-SEQR,,445.0,2.0,,500.0,0.89,1.0,0.9417989417989416,,55.0,0.9955257270693513,0.89,0.9398099260823654,,,,50,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",55.0,no
OBS0002,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.1,1.1,simulated,Simulated,,Arriba,Arriba,Arriba,,443.0,11.0,,500.0,0.89,0.98,0.9328342245989304,,57.0,0.9757709251101322,0.886,0.9287211740041929,,,,50,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",57.0,no
OBS0003,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.1,1.1,simulated,Simulated,,STAR-Fusion,STAR-Fusion,STAR-Fusion,,422.0,9.0,,500.0,0.84,0.98,0.9046153846153846,,78.0,0.9791183294663574,0.844,0.9065520945220193,,,,50,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",78.0,no
OBS0004,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.1,1.1,simulated,Simulated,,JAFFA-Direct,JAFFA-Direct,JAFFA,,421.0,13.0,,500.0,0.84,0.97,0.9003314917127071,,79.0,0.9700460829493087,0.842,0.9014989293361882,,,,50,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",79.0,no
OBS0005,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.1,1.1,simulated,Simulated,,nFuse,nFuse,nFuse,,415.0,15.0,,500.0,0.83,0.97,0.8945555555555555,,85.0,0.9651162790697675,0.83,0.8924731182795699,,,,50,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",85.0,no
OBS0006,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.1,1.1,simulated,Simulated,,pizzly,Pizzly,Pizzly,,420.0,21.0,,500.0,0.84,0.95,0.8916201117318435,,80.0,0.9523809523809523,0.84,0.8926673751328373,,,,50,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",80.0,no
OBS0007,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.1,1.1,simulated,Simulated,,TopHat-Fusion,TopHat-Fusion,TopHat-Fusion,,403.0,5.0,,500.0,0.81,0.99,0.891,,97.0,0.9877450980392157,0.806,0.8876651982378855,,,,50,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",97.0,no
OBS0008,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.1,1.1,simulated,Simulated,,deFuse,deFuse,deFuse,,394.0,8.0,,500.0,0.79,0.98,0.8748022598870057,,106.0,0.9800995024875622,0.788,0.8736141906873615,,,,50,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",106.0,no
OBS0009,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.1,1.1,simulated,Simulated,,ARRIBA_hc,Arriba-hc,Arriba,,389.0,2.0,,500.0,0.78,0.99,0.8725423728813559,,111.0,0.9948849104859335,0.778,0.8731762065095398,,,,50,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",111.0,no
OBS0010,1,doi.org/10.1186/s13059-019-1842-9,Dataset1.1,1.1,simulated,Simulated,,FusionCatcher,FusionCatcher,FusionCatcher,,387.0,8.0,,500.0,0.77,0.98,0.8624,,113.0,0.979746835443038,0.774,0.8648044692737431,,,,50,30000000.0,True,True,False,Benchmarki_Agnieszka.xlsx,"Sensitivity, Precision",new_tool,"yes, STAR-Fusion and TrinityFusion",113.0,no
