observation_id,Benchmark,doi,Dataset,DatasetNumber,DatasetType,DatasetOrigin,run,ToolReported,Tool,tool_family,tool_version,TP,FP,TP_plus_FP,TruthTotal,Recall,Precision,F1,FN_reported,FN_recalculated,precision_recalculated,recall_recalculated,f1_recalculated,execution_time_h,memory_usage,time_ranking_in_set,Read_length,number_of_reads,has_f1,has_precision_recall,Is_Edgren,Benchmark_purpose,new_tool,FN,Is_Edgren_Binary,Benchmark_label
OBS0090,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.3,2.3,real,Real,run 5,Arriba,Arriba,Arriba,v1.00,78.0,80.0,158.0,80.0,0.975,0.4936708860759494,0.6554621848739496,,2.0,0.4936708860759494,0.975,0.6554621848739496,1.0,39.0,1.0,101.0,297000000.0,True,True,True,new_tool,"yes, Arriba",2.0,yes,B2 / Dataset2.3
OBS0091,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.3,2.3,real,Real,,STAR-Fusion,STAR-Fusion,STAR-Fusion,v1.4.0,38.0,10.0,48.0,80.0,0.475,0.7916666666666666,0.5937499999999999,,42.0,0.7916666666666666,0.475,0.5937499999999999,2.0,40.0,2.0,101.0,297000000.0,True,True,True,new_tool,"yes, Arriba",42.0,yes,B2 / Dataset2.3
OBS0092,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.3,2.3,real,Real,,FusionCatcher,FusionCatcher,FusionCatcher,v1.00,42.0,200.0,242.0,80.0,0.525,0.1735537190082644,0.2608695652173914,,38.0,0.17355371900826447,0.525,0.2608695652173914,20.0,28.0,3.0,101.0,297000000.0,True,True,True,new_tool,"yes, Arriba",38.0,yes,B2 / Dataset2.3
OBS0093,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.3,2.3,real,Real,,deFuse,deFuse,deFuse,v0.8.1,70.0,280.0,350.0,80.0,0.875,0.2,0.3255813953488372,,10.0,0.2,0.875,0.3255813953488372,25.0,5.0,4.0,101.0,297000000.0,True,True,True,new_tool,"yes, Arriba",10.0,yes,B2 / Dataset2.3
OBS0094,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.3,2.3,real,Real,,InFusion,InFusion,InFusion,v0.8,60.0,350.0,410.0,80.0,0.75,0.1463414634146341,0.2448979591836734,,20.0,0.14634146341463414,0.75,0.2448979591836734,48.0,8.0,5.0,101.0,297000000.0,True,True,True,new_tool,"yes, Arriba",20.0,yes,B2 / Dataset2.3
OBS0096,2,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7919457/,Dataset2.3,2.3,real,Real,,SOAPfuse,SOAPfuse,SOAPfuse,v1.27,44.0,280.0,324.0,80.0,0.55,0.1358024691358024,0.2178217821782178,,36.0,0.13580246913580246,0.55,0.2178217821782178,148.0,10.0,7.0,101.0,297000000.0,True,True,True,new_tool,"yes, Arriba",36.0,yes,B2 / Dataset2.3
OBS0140,5,DOI:10.1038/s41598-017-07070-6,Dataset5.1,5.1,real,Real,,TopHat-Fusion,TopHat-Fusion,TopHat-Fusion,,30.0,36.0,66.0,37.0,0.8108108108108109,0.4545454545454545,0.5825242718446602,,7.0,0.45454545454545453,0.8108108108108109,0.5825242718446602,,,,,,True,True,True,new_tool,"yes, GFusion",7.0,yes,B5 / Dataset5.1
OBS0141,5,DOI:10.1038/s41598-017-07070-6,Dataset5.1,5.1,real,Real,,FusionMap,FusionMap,FusionMap,,16.0,10.0,26.0,37.0,0.4324324324324324,0.6153846153846154,0.5079365079365079,,21.0,0.6153846153846154,0.43243243243243246,0.5079365079365079,,,,,,True,True,True,new_tool,"yes, GFusion",21.0,yes,B5 / Dataset5.1
OBS0142,5,DOI:10.1038/s41598-017-07070-6,Dataset5.1,5.1,real,Real,,JAFFA,JAFFA,JAFFA,,21.0,16.0,37.0,37.0,0.5675675675675675,0.5675675675675675,0.5675675675675675,,16.0,0.5675675675675675,0.5675675675675675,0.5675675675675675,,,,,,True,True,True,new_tool,"yes, GFusion",16.0,yes,B5 / Dataset5.1
OBS0143,5,DOI:10.1038/s41598-017-07070-6,Dataset5.1,5.1,real,Real,,ChimPipe,ChimPipe,ChimPipe,,30.0,8.0,38.0,37.0,0.8108108108108109,0.7894736842105263,0.8,,7.0,0.7894736842105263,0.8108108108108109,0.8,,,,,,True,True,True,new_tool,"yes, GFusion",7.0,yes,B5 / Dataset5.1
