Tool,TP_27,FP_27,FN_27,precision_27,recall_27,f1_27,TP_99,FP_99,FN_99,precision_99,recall_99,f1_99,delta_f1,delta_precision,delta_recall
MapSplice,17.01,21.649090909090912,9.989999999999998,0.44,0.63,0.5181308411214953,20.988,17.87866666666666,78.012,0.54,0.212,0.30446808510638296,-0.21366275601511237,0.10000000000000003,-0.41800000000000004
FusionCatcher,20.007,24.453,6.9929999999999986,0.45,0.7410000000000001,0.559949622166247,27.027,17.27955737704918,71.973,0.61,0.273,0.3771913929784825,-0.18275822918776452,0.15999999999999998,-0.4680000000000001
TopHat-Fusion,11.988,27.972,15.012,0.3,0.444,0.35806451612903223,15.048,24.552,83.952,0.38,0.152,0.21714285714285714,-0.1409216589861751,0.08000000000000002,-0.29200000000000004
InFusion,19.008000000000003,42.30812903225807,7.991999999999997,0.31,0.7040000000000001,0.4304536489151874,25.047,37.570499999999996,73.953,0.4000000000000001,0.253,0.3099540581929557,-0.12049959072223171,0.09000000000000008,-0.45100000000000007
INTEGRATE,16.011,34.023375,10.989,0.32,0.593,0.41568455640744795,26.037000000000003,24.034153846153846,72.963,0.52,0.263,0.349323116219668,-0.06636144018777995,0.2,-0.32999999999999996
JAFFA,17.01,68.03999999999999,9.989999999999998,0.20000000000000004,0.63,0.30361445783132535,21.978,62.552769230769236,77.02199999999999,0.26,0.222,0.2395020746887967,-0.06411238314252865,0.05999999999999997,-0.40800000000000003
ChimPipe,18.009,42.021,8.991,0.3,0.667,0.41385729058945186,28.017000000000003,31.593638297872346,70.983,0.47,0.28300000000000003,0.3532802124833998,-0.06057707810605206,0.16999999999999998,-0.384
STARChip,5.994,79.63457142857142,21.006,0.07,0.222,0.10643835616438356,8.019,81.081,90.981,0.09,0.081,0.08526315789473685,-0.021175198269646714,0.01999999999999999,-0.14100000000000001
EricScript,16.011,107.15053846153846,10.989,0.13,0.593,0.21325034578146615,22.968,97.91621052631578,76.032,0.19,0.232,0.20890995260663506,-0.004340393174831092,0.06,-0.361
FuSeq,21.006,63.018,5.994,0.25,0.778,0.3784046692607004,35.046,50.43204878048781,63.954,0.41,0.354,0.37994764397905756,0.0015429747183571818,0.15999999999999998,-0.42400000000000004
ChimeRScope,9.99,132.72428571428568,17.009999999999998,0.07,0.37,0.11772727272727274,17.028,124.87200000000001,81.97200000000001,0.11999999999999998,0.172,0.1413698630136986,0.023642590286425874,0.049999999999999975,-0.198
STAR-Fusion,22.005000000000003,51.345000000000006,4.994999999999997,0.3,0.8150000000000001,0.4385650224215247,40.986,33.533999999999985,58.014,0.55,0.414,0.4724066390041494,0.033841616582624745,0.25000000000000006,-0.4010000000000001
Pizzly,20.007,980.3430000000001,6.9929999999999986,0.02,0.7410000000000001,0.03894875164257556,40.986,983.6639999999999,58.014,0.04,0.414,0.07295154185022026,0.034002790207644705,0.02,-0.3270000000000001
ChimeraScan,23.004,2277.396,3.9959999999999987,0.01,0.8520000000000001,0.019767981438515082,40.986,1325.214,58.014,0.029999999999999995,0.414,0.05594594594594594,0.036177964507430854,0.019999999999999997,-0.4380000000000001
SOAPfuse,20.007,97.68123529411764,6.9929999999999986,0.17,0.7410000000000001,0.27655323819978045,36.036,84.084,62.964,0.3,0.364,0.3289156626506024,0.052362424450821954,0.12999999999999998,-0.3770000000000001
Arriba,22.005000000000003,135.17357142857145,4.994999999999997,0.14,0.8150000000000001,0.23895287958115186,45.045,110.28258620689657,53.955,0.29,0.455,0.35422818791946303,0.11527530833831118,0.14999999999999997,-0.36000000000000004
