observation_id,benchmark_number,dataset_number,tool_name_clean,precision,recall,old_f1_score,new_f1_score,action,reason
OBS0076,2,2.1,Arriba,0.9278350515463918,0.6,,0.7287449392712552,fill_harmonized_f1,F1 recalculated from precision and recall
OBS0077,2,2.1,STAR-Fusion,0.8,0.3466666666666667,,0.4837209302325582,fill_harmonized_f1,F1 recalculated from precision and recall
OBS0080,2,2.1,InFusion,0.5405405405405406,0.13333333333333333,,0.21390374331550802,fill_harmonized_f1,F1 recalculated from precision and recall
OBS0081,2,2.1,SOAPfuse,0.8235294117647058,0.37333333333333335,,0.5137614678899083,fill_harmonized_f1,F1 recalculated from precision and recall
OBS0083,2,2.2,Arriba,1.0,0.5,,0.6666666666666666,fill_harmonized_f1,F1 recalculated from precision and recall
OBS0084,2,2.2,FusionCatcher,0.2,0.4,,0.26666666666666666,fill_harmonized_f1,F1 recalculated from precision and recall
OBS0085,2,2.2,STAR-Fusion,1.0,0.35,,0.5185185185185185,fill_harmonized_f1,F1 recalculated from precision and recall
OBS0086,2,2.2,deFuse,0.14285714285714285,0.35,,0.20289855072463767,fill_harmonized_f1,F1 recalculated from precision and recall
OBS0087,2,2.2,InFusion,0.0625,0.25,,0.1,fill_harmonized_f1,F1 recalculated from precision and recall
OBS0088,2,2.2,SOAPfuse,0.24242424242424243,0.4,,0.30188679245283023,fill_harmonized_f1,F1 recalculated from precision and recall
OBS0090,2,2.3,Arriba,0.4936708860759494,0.975,,0.6554621848739496,fill_harmonized_f1,F1 recalculated from precision and recall
OBS0091,2,2.3,STAR-Fusion,0.7916666666666666,0.475,,0.5937499999999999,fill_harmonized_f1,F1 recalculated from precision and recall
OBS0092,2,2.3,FusionCatcher,0.17355371900826447,0.525,,0.26086956521739135,fill_harmonized_f1,F1 recalculated from precision and recall
OBS0093,2,2.3,deFuse,0.2,0.875,,0.32558139534883723,fill_harmonized_f1,F1 recalculated from precision and recall
OBS0094,2,2.3,InFusion,0.14634146341463414,0.75,,0.24489795918367344,fill_harmonized_f1,F1 recalculated from precision and recall
OBS0096,2,2.3,SOAPfuse,0.13580246913580246,0.55,,0.21782178217821782,fill_harmonized_f1,F1 recalculated from precision and recall
OBS0126,3,3.2,Bellerophontes,0.7857142857142857,0.66,,0.717391304347826,fill_harmonized_f1,F1 recalculated from precision and recall
OBS0144,5,5.2,GFusion,0.17647058823529413,,0.0,,set_f1_to_NA,F1 was 0 but recall denominator was unavailable
OBS0145,5,5.2,TopHat-Fusion,0.04054054054054054,,0.0,,set_f1_to_NA,F1 was 0 but recall denominator was unavailable
OBS0146,5,5.2,FusionMap,0.022123893805309734,,0.0,,set_f1_to_NA,F1 was 0 but recall denominator was unavailable
OBS0244,7,7.5,STARChip,0.0,0.0,,0.0,fill_harmonized_f1,F1 set to 0 by convention because precision and recall are both 0
