tool,metric,k,pooled,ci_lb,ci_ub,I2,Q,Q_p,tau2
Arriba,precision,18,0.6072998588505043,0.4887262131600678,0.7258735045409408,99.80462753496424,8701.328509566934,0.0,0.06453834112479064
Arriba,sensitivity,18,0.8134779449720848,0.7687604036746116,0.858195486269558,97.87318162909494,799.3160221183232,6.373930949510904e-159,0.008221305922428231
Arriba,f1,18,0.6501865543675991,0.5542644197505375,0.7461086889846607,99.72086553664013,6090.254780930832,0.0,0.042242849556484725
ChimPipe,precision,12,0.8159837094050589,0.7743339003808543,0.8576335184292636,97.55269992553691,449.47491788121965,1.862897212570082e-89,0.00382831063164584
ChimPipe,sensitivity,12,0.5602971095686587,0.4604116488734256,0.6601825702638919,97.53365468205534,446.0040497965201,1.0204618697393318e-88,0.02901271785492544
ChimPipe,f1,12,0.6221651787967819,0.5319581433939882,0.7123722141995756,98.2798618668167,639.4835268051024,4.974998767618267e-130,0.0239627553314584
ChimeraScan,precision,10,0.40746194126660407,0.20980518985732666,0.6051186926758815,99.94618507131274,16723.983882432676,0.0,0.1013384521413154
ChimeraScan,sensitivity,12,0.6573205613033856,0.5279546422576878,0.7866864803490833,98.93713652569818,1034.9400714165724,5.794706149914084e-215,0.05056193966772708
ChimeraScan,f1,10,0.457707263800259,0.21242447223087668,0.7029900553696413,99.95610029278454,20501.275682382333,0.0,0.15632899623723948
EricScript,precision,16,0.4038965614480357,0.18898598328467153,0.6188071396113999,99.92999110964699,21425.850237539686,0.0,0.19150391491844193
EricScript,sensitivity,18,0.5875268447383585,0.5272165314311464,0.6478371580455705,96.69611768625656,514.5461728247286,1.626592486829639e-98,0.014164716740831898
EricScript,f1,16,0.4141685567071064,0.2584611676282105,0.5698759457860023,99.83128565315705,8890.767312138405,0.0,0.10015964791904727
FusionCatcher,precision,12,0.6577738818536651,0.5391107021342286,0.7764370615731017,99.47889875814361,2110.9141787521653,0.0,0.04213964339446493
FusionCatcher,sensitivity,16,0.5682599817839189,0.46266207133157494,0.6738578922362628,98.28665080688957,875.4782773013652,6.230986674717638e-177,0.04348874803896733
