tool,edgren_rows,f1_with,I2_with,k_with,f1_without,I2_without,k_without,delta_f1,delta_I2
Arriba,4,0.6501865543675991,99.72086553664013,18,0.7219172991912065,99.74060676871153,14,0.07173074482360742,0.019741232071396553
ChimPipe,3,0.6221651787967819,98.2798618668167,12,0.6567926932676258,98.25936906888805,9,0.03462751447084389,-0.020492797928653772
ChimeraScan,2,0.457707263800259,99.95610029278454,10,0.5628775711002868,99.88735891573495,8,0.1051703073000278,-0.06874137704959082
EricScript,3,0.4141685567071064,99.83128565315705,16,0.4548254340618613,99.86144184972274,13,0.04065687735475493,0.030156196565684468
FusionCatcher,4,0.5861010768319829,99.20921825898417,12,0.6773354789101502,98.96249549062752,8,0.09123440207816735,-0.24672276835664775
FusionMap,4,0.4827278281303217,99.24007576389762,12,0.5350662519377756,99.40362084069343,8,0.05233842380745385,0.16354507679581332
InFusion,3,0.5581320895463593,99.50922036593886,12,0.6351704460672122,99.24926089209666,9,0.07703835652085289,-0.2599594738422013
JAFFA,5,0.3500257753619546,99.16228338018418,13,0.31293373040603417,99.43203734348543,8,-0.037092044955920445,0.26975396330125534
JAFFA-Hybrid,0,0.7232702082103991,99.84500866619554,4,0.7232702082103991,99.84500866619554,4,0.0,0.0
MapSplice,2,0.6065734044023751,99.20955800899974,10,0.6535521612727194,99.28339246722307,8,0.04697875687034436,0.07383445822333101
SOAPfuse,6,0.5642863558137173,99.3813636802624,18,0.6463988342610416,99.41446867944845,12,0.08211247844732428,0.03310499918605103
STAR-Fusion,4,0.6775654302274399,98.85817815262362,18,0.7150231384199097,98.9600251769557,14,0.03745770819246985,0.10184702433207349
TopHat-Fusion,6,0.4143862882255042,99.74529434881524,18,0.47899628088879737,99.75188316326884,12,0.06460999266329315,0.006588814453607483
deFuse,3,0.5496020191519018,99.8414333825607,12,0.6236501760126346,99.87138460313308,9,0.07404815686073285,0.02995122057238575
nFuse,0,0.6748935648046345,99.94899038889722,3,0.6748935648046345,99.94899038889722,3,0.0,0.0
