tool,k,pooled_f1_real,pooled_f1_simulated,delta_real_minus_simulated,direction_consistent
Arriba,18,0.40137514290469645,0.8558159607624357,-0.45444081785773927,True
ChimPipe,12,0.5054948828300977,0.7100867982020233,-0.20459191537192556,True
ChimeraScan,10,0.10314744354417249,0.6929751093944014,-0.5898276658502289,True
EricScript,16,0.18319645596705852,0.5761779844809929,-0.39298152851393436,True
FusionCatcher,12,0.41012993353361893,0.7601271683728364,-0.3499972348392175,True
FusionMap,12,0.40196640562910274,0.6320471363566736,-0.2300807307275709,True
InFusion,12,0.35040455629822964,0.7057598405819171,-0.35535528428368746,True
JAFFA,13,0.2723498415779115,0.42269147141088814,-0.15034162983297666,True
MapSplice,10,0.3667700017891251,0.7712808309635233,-0.4045108291743982,True
SOAPfuse,18,0.39229410627034556,0.7814549875408012,-0.38916088127045567,True
STAR-Fusion,18,0.5286518156495513,0.7887116727998774,-0.2600598571503261,True
TopHat-Fusion,18,0.2627232818410712,0.6024321134707253,-0.33970883162965415,True
deFuse,12,0.3106807046768918,0.7658601431336012,-0.4551794384567094,True
